NN = 50,NN = 100,NN = 200,NN = 300,NN = 400,NN = 500,NN = 750,NN = 1000
std=5,0.0481,0.0450,0.0387,0.0444,0.0474,0.0414,0.0472,0.0483
std=10,0.0186,0.0196,0.0200,0.0184,0.0173,0.0156,0.0163,0.0148
std=15,0.0102,0.0093,0.0098,0.0092,0.0081,0.0077,0.0072,0.0066
std=20,0.0057,0.0049,0.0049,0.0049,0.0044,0.0043,0.0039,0.0037
std=25,0.0036,0.0033,0.0031,0.0025,0.0026,0.0024,0.0021,0.0021
std=30,0.0031,0.0026,0.0021,0.0019,0.0018,0.0018,0.0016,0.0016
std=35,0.0032,0.0024,0.0019,0.0018,0.0017,0.0017,0.0016,0.0015
std=40,0.0030,0.0026,0.0021,0.0021,0.0019,0.0018,0.0015,0.0015
